name,address,phone,website,rating,total_ratings,business_status,search_city,search_county
All Paths Acu Care,"407 Albany Shaker Rd, Albany, NY 12211, USA",(518) 218-6927,http://tinyurl.com/allpathsacu,5,1,OPERATIONAL,Albany,Albany
"Daniel F. Zal, Lac","23 Computer Dr E # 4, Albany, NY 12205, USA",(518) 438-6202,http://www.acupunctureofalbany.com/,4.6,10,OPERATIONAL,Albany,Albany
Eastgate Acupuncture,"3 Computer Dr W suit 102, Albany, NY 12205, USA",(518) 828-0205,http://www.eastgateacupuncture.com/,5,10,OPERATIONAL,Albany,Albany
Gina Mauro L.Ac. LMT Myofascial Acupuncture,"6 Executive Park Dr entrance D, Albany, NY 12203, USA",(518) 218-6927,https://ginamauro.com/,5,6,OPERATIONAL,Albany,Albany
Life Cycles Integrative Health,"839 Loudon Rd Suite 1, Latham, NY 12110, USA",(518) 504-6600,http://lifecyclesclinic.com/,5,10,OPERATIONAL,Albany,Albany
Wei Wei Acupuncture PC,"35 Fuller Rd # 1, Albany, NY 12205, USA",(518) 438-0841,,4.4,18,OPERATIONAL,Albany,Albany
"Christopher R. Reilly, L.Ac.","21 Everett Rd Ext # 4, Albany, NY 12205, USA",(518) 928-4957,http://www.silvermoon-acupuncture.com/,5,14,OPERATIONAL,Coeymans,Albany
Elevate Albany Wellness,"407 Albany Shaker Rd, Loudonville, NY 12211, USA",(518) 435-1280,http://www.elevatealbanywellness.com/,4.9,57,OPERATIONAL,Coeymans,Albany
Rice Acupuncture & Chinese Medicine,"90 Adams Pl, Delmar, NY 12054, USA",(518) 689-2244,http://riceacupuncture.com/,5,1,OPERATIONAL,Coeymans,Albany
Upstate Community Acupuncture,"17 Johnson Rd, Latham, NY 12110, USA",(518) 810-7053,http://www.stuckupstate.com/,5,29,OPERATIONAL,Coeymans,Albany
"Wellness Roots Acupuncture & Massage Therapy, PLLC","2280 Western Ave Building # 2, Guilderland, NY 12084, USA",(518) 389-6167,http://www.wellnessrootsacupuncture.com/,4.8,15,OPERATIONAL,Coeymans,Albany
Acupuncture Office LLC,"15 Century Hill Dr, Latham, NY 12110, USA",(518) 785-8999,http://www.theacupunctureoffice.net/,5,4,OPERATIONAL,Ravena,Albany
"Bower Family Acupuncture, PLLC","81 Miller Rd #600, Castleton-On-Hudson, NY 12033, USA",(518) 336-6482,http://www.boweracu.com/,5,5,OPERATIONAL,Ravena,Albany
Vibe Acupuncture,"560 Delaware Ave, Albany, NY 12209, USA",(518) 227-1669,http://www.vibeacu.com/,5,5,OPERATIONAL,Ravena,Albany
Five Element Acupuncture with Margaret Hallisey,"7 Maple Ave, Philmont, NY 12565, USA",(212) 380-8469,http://www.margarethalliseyacupuncture.com/,5,4,OPERATIONAL,Hudson,Columbia
"Marcus DeGrazia, LAC","808 Warren St, Hudson, NY 12534, USA",,http://marcusdegrazia.com/,,,OPERATIONAL,Hudson,Columbia
Sally Rappeport Acupuncture,"Summit Exd, Philmont, NY 12565, USA",(917) 208-4730,https://sallyrappeport.com/,5,2,OPERATIONAL,Stockport,Columbia
Acupuncture Health Care Center,"23 Computer Dr E, Albany, NY 12205, USA",(518) 894-3652,http://www.acupunctureofchinesemedicine.com/,5,8,OPERATIONAL,Stuyvesant,Columbia
Anant Acupuncture,"5316 NY-23, Windham, NY 12496, USA",(631) 599-1111,https://anantacupuncture.com/,5,8,OPERATIONAL,Stuyvesant,Columbia
BeAti Acupuncture Wellness Clinic,"146 State St, Albany, NY 12207, USA",(518) 859-4648,http://beatiacupuncture.com/,5,25,OPERATIONAL,Stuyvesant,Columbia
Kinderhook Healing Arts,"2 Sherman Potts Dr, Ghent, NY 12075, USA",(518) 758-7711,,3.7,3,OPERATIONAL,Stuyvesant,Columbia
Silver Moon Acupuncture,"21 Everett Rd Ext Suite A-4, Albany, NY 12205, USA",(518) 928-4957,http://www.silvermoon-acupuncture.com/,5,8,OPERATIONAL,Stuyvesant,Columbia
Tri City Healing,"69 State St, Albany, NY 12207, USA",(518) 640-7722,http://tricityhealing.com/,5,37,OPERATIONAL,Stuyvesant,Columbia
Acupuncture Massage Therapy,"831 NY-52, Fishkill, NY 12524, USA",(845) 765-8060,http://www.hudsonvalleyfaceandbody.com/,4.4,25,OPERATIONAL,Beacon,Dutchess
"Anthony Wong Wellness - Acupuncture & Fitness in Beacon, NY","7 Creek Dr, Beacon, NY 12508, USA",(845) 859-0739,https://www.anthonywongwellness.com/,5,7,OPERATIONAL,Beacon,Dutchess
"Dancing Crane Acupuncture, PC","621 NY-52 #1B, Beacon, NY 12508, USA",(845) 656-0694,http://dancingcrane.net/,5,1,OPERATIONAL,Beacon,Dutchess
"Elisa Hirsch-Cotter, M.S., L.Ac.","1181 North Ave, Beacon, NY 12508, USA",(845) 926-6909,http://www.elisahirschcotter.com/,5,9,OPERATIONAL,Beacon,Dutchess
"Masha Schmidt, L.Ac","544 Main St Apartment 2, Beacon, NY 12508, USA",(845) 288-1861,http://www.daydreamclinic.com/,5,1,OPERATIONAL,Beacon,Dutchess
"Sacred Space Healing Arts, Nature Wellness & Movement","436 Main St, Beacon, NY 12508, USA",(845) 742-8494,http://www.seeksacredspace.com/,4.8,10,OPERATIONAL,Beacon,Dutchess
Solarena Acupuncture,"616 NY-52, Beacon, NY 12508, USA",(787) 484-6754,https://doctormillan.com/,5,18,OPERATIONAL,Beacon,Dutchess
Uncharted Currents Acupuncture,"33 Henry St, Beacon, NY 12508, USA",(646) 392-6378,https://www.unchartedcurrents.com/,5,41,OPERATIONAL,Beacon,Dutchess
